language-name-text,日本語
leaderboard-progress-text,{floor-record} 階に到達して{player-percentage-amount} のプレイヤーを超えました
leaderboard-progress-connection-failed-text,スコアボードに接続できません：到達フロア{floor-record}
final-floor-reached-text,最終階到達
ascension-level-text,昇天 {level}
final-floor-text,最終階
new-journey-text,新たな旅
select-save-slot-text,選択
delete-save-slot-text,削除
update-text,更新
upload-text,アップロード
death-message-title-text,{player-name}による死亡メッセージ
player-floor-record-text,{player-name}のフロア記録
view-steam-profile-text,Steamプロフィールを表示
no-achievements-text,実績なし
loading-file-text,ロード中
saving-file-text,セーブ中
proceed-text,続行
join-lobby-text,参加
enter-password-text,パスワードを入力
enter-ip-text,IPを入力
specialization-floor-text,フロア{floor-number}で発動
convert-to-battle-stats-text,バトルステータスに変換
stat-per-kill-text,キル毎に{stat}
item-found-text,{item-name} が見つかりました
doubles-own-stat-text,|{stat} を 2 倍にする
victory-text,勝利
defeat-text,敗北
ascend-text,昇天
negative-flow-text,{flow}|不可。アイテムセットの装備を外してください
cannot-be-dismantled-text,分解不可
waiting-for-dismantle-text,分解待ち
request-to-dismantle-text,分解の要求
battles-remaining-text,残りバトル
current-battle-text,現在の戦闘
last-battle-text,最後の戦闘
gold-per-battle-text,1バトルあたりのゴールド
gold-per-kill-text,1キルあたりのゴールド
enemy-player-immunity-text,{player-name}のターン時||\n||被ダメージが{amount}%軽減する
enemy-player-immunity-misc-text,ターン毎に{amount}%軽減
player-sent-an-item-text,{player-name}があなたに{item-name}を送った
send-item-to-player-text,アイテムを送る
burnout-description-text,バーンアウト：効果は無効
infuse-description-text,このフロアでアイテムのステータスと効果を||\n||付与する
infused-flow-info-text,注入。コストなし|{flow-stat}
infuse-text,注入
to-open-battle-log-text,バトル記録を開く
to-unlock-stats-text,ステータスをアンロック
to-lock-stats-text,ステータスをロック
to-deselect-text,選択解除
to-convert-text,変換
to-select-text,選択
to-toggle-text,切り替え
to-unlock-text,アンロック
to-learn-text,習得するには
to-lock-text,ロック
to-consume-text,消費
to-activate-text,有効化する
to-restore-text,回復する
to-remove-text,削除
to-banish-text,除外する
to-equip-text,装備
to-swap-text,交換
to-take-text,取る
to-buy-text,購入
silenced-text,沈黙
highest-text,最高
cost-text,コスト
diamond-reward-text,{floor}階ごとに{diamond}を追加で入手
gold-start-text,#ERROR!
reforge-token-description-text,鍛え直したアイテムに |{stat}| が適用される確率 +{amount}%
item-multiplier-text,装備した合計|{item-set}|アイテム掛けるステータス分倍増する
specialization-info-text,|{item-set}| を |{specialization}| に変換
required-item-sets-text,{item-set}|アイテムの装備が必要
required-stat-text,必要 |{stat}
cant-move-during-battle-text,戦闘中は移動不可
missing-item-socket-text,{socket-name} ソケットがありません
item-set-no-flow-text,|{item-set}| のコストは 0% |{flow}|
item-set-limit-reached-text,アイテムセット制限に到達
cant-equip-duplicates-text,同じアイテムは装備できない
cannot-be-upgraded-text,強化できません
unlearned-ability-text,未習得のアビリティ
learn-ability-text,{ability} を習得
skip-stance-text,スキップ：このターンは攻撃しない
guard-stance-text,ガード：このターン; 受けるダメージが{amount}%減少
attack-on-activation-ability-text,発動時に攻撃
reforged-item-stats-text,鍛え直したアイテムのステータス
favorite-item-sets-text,お気に入りのアイテムセット
market-item-sets-text,マーケットのアイテムセット
tinker-kit-item-name-text,工作キット
battle-information-text,バトル情報
current-turn-text,ターン{turn-number}
local-player-name-text,あなた
dead-text,死亡
battle-log-applied-status-effect-text,{character-1}は{character-2}にステータス効果を付与した
battle-log-applied-status-on-self-text,{character}は自らにステータス効果を付与した
battle-log-received-damage-from-source-text,{character}は{source}からダメージを受けた
battle-log-received-damage-text,{character}はダメージを受けた
battle-log-hit-with-text,{character-1}は{source}で{character-2}をヒットした
battle-log-activated-effect-text,{character}は効果を発動した
battle-log-parry-text,{character-1}は{character-2}をかわした
battle-log-block-text,{character-1}は{character-2}をブロックした
battle-log-killed-text,{character-1}は{character-2}をキルした
battle-log-steal-text,{character} が {source} から盗んだ
battle-log-hit-text,{character-1}は{character-2}をヒットした
battle-log-cleanse-text,{character}は浄化した
battle-log-dodged-text,{character}は回避した
battle-log-healed-text,{character}は治癒した
overhealed-text,異常治癒
overheal-text,異常治癒
executed-text,処刑
blocked-text,ブロック
debuff-immune-text,デバフ免除
failed-steal-text,スティール失敗
steal-text,スティール
escaped-text,逃亡
cleanse-text,浄化
inventory-full-text,インベントリに空きなし
armor-break-text,鎧破壊！
counter-attack-break-text,反撃！
missing-mana-text,失われたマナ
cleansed-text,浄化
heal-text,治癒
attack-text,攻撃
enter-text,入る
skip-text,スキップ
open-text,開く
sell-all-text,すべて売る
close-text,閉じる
demo-tower-completed-text,デモ塔クリア
grants-stat-consumable-text,現バトルで|{amount}|{stat}|を付与
temp-stat-to-add-potion-description-text,現バトルの間、|{stat}|を付与
status-effect-potion-description-multiple-text,|{status-effect}|のスタックを{amount}付与
status-effect-potion-description-single-text,|{status-effect}|のスタックを1つ付与
potion-restores-text,{amount} |{stat}|を回復
potion-regenerates-text,{stat}| を {amount} 再生します |
potion-repairs-text,{stat}| の {amount}% を修復します |
refills-every-battle-potion-text,戦闘ごとにリチャージされます
stat-transform-text,|{stat-1}| を |{stat-2}| に変換
banished-item-text,{item-name}を除外した
reforged-item-text,鍛え直した {item-name}
item-reforge-text,{item-name} 鍛え直し
banish-description-text,{item-name}を塔から|\n|永久に削除します
unlock-requirements-description-text,アンロックに必要な完了バトル数：
unlimited-amount-text,無制限
max-amount-text,最大：{amount}
corrupted-fragment-text,腐敗した断片
specialization-text,専門化
unknown-enemy-text,不明な敵
unknown-item-text,不明なアイテム
passive-set-text,パッシブセット
empty-set-text,空のセット
sell-for-text,販売価格
level-up-text,レベルアップ
chapter-text,章
abilities-text,アビリティ
ability-text,能力
passives-text,パッシブ
passive-text,パッシブ
rewards-text,報酬
convert-text,変換
upgrade-text,アップグレード
command-list-text,コマンド
help-command-info-text,「{command}」を入力してヘルプを表示
kick-command-info-text,{command} [player index]|\n|プレイヤーをロビーから追放します|\n|例: {command} 1 (あなたの次の最初のプレイヤーを追放)
end-game-text-text,塔の中で鍛えられ; あなたの魂はふさわしいと証明されました。
highest-floor-result-screen-text,最高フロア：{floor-number}
died-on-floor-text,フロア{floor-number}で死亡
merchant-exclusive-text,商人専用
upgrades-into-text,アップグレード後:
highest-floor-text,最高フロア
floor-number-text,フロア{number}
not-refinable-text,改良不可
top-player-text,トッププレイヤー
refinable-text,改良可
deforge-text,解鍛（デフォージ）
active-text,アクティブ
floor-text,フロア
split-text,分割
elite-text,エリート
gold-text,ゴールド
level-text,レベル
set-text,セット
xp-text,XP
memories-button,メモリー
name-label,名前
lobbies-button,ロビー
game-mode-label,ゲームモード
locked-label,ロック済み
players-label,プレイヤー
select-button,選択
select-label,選択
back-button,戻る
button-label,ボタン
wishlist-on-steam!-label,Steamでウィッシュリストに追加！
enter-the-tower-button,塔に入る
library-button,ライブラリ
library-label,ライブラリ
workshop-button,ワークショップ
quit-button,閉じる
market-hover-name,マーケット
market-hover-description,<696969>各階ごとに新しいアイテムが追加されます
market-hover-bottom-hint,アイテムを表示
refresh-market-hover-name,マーケットを更新
refresh-market-hover-description,<696969>価格は戦闘ごとにリセットされます
sell-label,売る
split-label,分割する
search-line-edit,検索...
current-battle-label,現在の戦闘
turn-1-label,ターン1
normal-battle-label,通常バトル
ping-hover-name,ピング
ping-hover-description,
10-label,
open-button,開く
loot-stash-hover-name,戦利品の隠し場所
loot-stash-hover-description,<696969>余分な戦利品はここに入ります
button-button,ボタン
market-items-label,マーケットアイテム
close-button,閉じる
waiting-for-all-players-to-connect-label,すべてのプレイヤーの接続待ち...
floor-record-x-label,フロア記録: x
battle-log-button,バトルログ
battle-log-label,バトルログ
feedback-button,フィードバック
feedback-label,フィードバック
confirm-button,決定
overview-button,概要
speedruns-button,スピードラン
submit-run-button,ランを提出
version-label,バージョン：
selection-label,選択肢
highest-floor-10-label,最高フロア：10
top-player-label,トッププレイヤー
time-label,タイム
enter-password-line-edit,パスワードを入力...
join-button,参加する
password-label,パスワード
connection-type-label,接続タイプ
challenge-drop-down-selection,チャレンジ
pvp-no-achievements-drop-down-selection,PvP［実績なし］
practice-no-achievements-drop-down-selection,練習［実績なし］
public-label,公開
--credits--label,- クレジット -
thanks-button,ありがとうございます
no-tutorial-label,チュートリアルなし
no-tutorial-info-label-label,本作は 学習は|\n|実験と発見によって行うべきであり; 指示ではないと考えます.
proceed-button,続行
items-button,アイテム
bestiary-button,モンスター
synergies-button,シナジー
passives-button,パッシブ
build-planner-label,ビルドプランナー
delete-label,削除
build-1-label,ビルド1
blue-team-label,青チーム
+-join-label,[+] 参加
player-name-label,プレイヤー名
select-adventurer-label,冒険者を選択
red-team-label,赤チーム
trials-label,試練
configure-button,設定
0/4-label,0/4
begin-button,開始
begin-label,スタート
restart-button,やり直し
restart-label,やり直し
resume-button,再開
resume-label,再開
options-button,オプション
save-&-exit-button,保存＆やめる
text-label,テキスト
controls-button,操作
video-button,動画
audio-button,音声
misc-button,その他
primary-action-button,メインアクション
key-label,キー
?-label,
listening-for-input-label,インプット待ち...
ability-button,アビリティ
skip-button,スキップ
refresh-market-button,マーケットを更新
brightness-label,明るさ
contrast-label,コントラスト
window-mode-label,ウィンドウモード：
resolution-label,解像度：
v-sync-label,
music-label,音楽
sfx-label,SFX
tooltip-lock-time-label,ツールチップロック時間
language-label,言語：
chromatic-aberration-label,色収差
display-run-time-label,ランタイム表示
screen-shake-label,画面の揺れ
scan-lines-label,走査線
reset-to-defaults-button,デフォルトにリセット
->-label,
end-button,終了する
enter-endless-button,エンドレスに入る
