id,english,french,german,spanish,japanese,koreana,polish,portuguese,russian,schinese,tchinese
language-name-text,English,Français,Deutsch,Español,日本語,한국어,Polski,Português,Русский,中文,中文 (繁體)
leaderboard-progress-text,You surpassed {player-percentage-amount} of players by reaching floor {floor-record},Vous avez surpassé {player-percentage-amount} des joueurs en atteignant l'étage {floor-record},Du hast {player-percentage-amount} der Spieler übertroffen; indem du das Ebene {floor-record} erreicht hast,Superaste a {player-percentage-amount} de los jugadores al llegar al piso {floor-record},{floor-record} 階に到達して{player-percentage-amount} のプレイヤーを超えました,{floor-record} 층에 도달하여 {player-percentage-amount}의 플레이어를 능가했습니다,Przewyższyłeś {player-percentage-amount} graczy; osiągając piętro {floor-record},Você superou {player-percentage-amount} dos jogadores ao alcançar o andar {floor-record},Вы превзошли {player-percentage-amount} игроков; достигнув этажа {floor-record},通过到达第 {floor-record} 层，您超过了 {player-percentage-amount} 的玩家,通過到達第 {floor-record} 層，您超過了 {player-percentage-amount} 的玩家
leaderboard-progress-connection-failed-text,Failed connecting to leaderboards; Reached floor {floor-record},La connexion au classement a échoué. Vous avez atteint l'étage n° {floor-record},Verbindung zu Bestenlisten fehlgeschlagen. Ebene {floor-record} erreicht.,Ha fallado la conexión a la clasificación; Piso alcanzado: {floor-record},スコアボードに接続できません：到達フロア{floor-record},순위표에 연결하지 못했습니다. {floor-record}층에 도달했습니다,Nie udało się połączyć z rankingami. Osiągnięto piętro {floor-record},Erro ao conectar aos placares; alcançou o {floor-record}º andar,Не удалось получить доступ к списку лидеров. Достигнутый этаж: {floor-record},无法连接至排行榜；到达第{floor-record}层,無法連線至排行榜；到達{floor-record}樓
final-floor-reached-text,Final Floor Reached,Dernier étage atteint,Letzte Ebene erreicht,Última planta alcanzada,最終階到達,마지막 층 도달,Ostatnie piętro osiągnięte,Último andar alcançado,Достигнут последний этаж,到达最终层,到達最終層
ascension-level-text,Ascension {level},Ascension {level},Aufstieg {level},Ascensión {level},昇天 {level},승천 {level},Wniebowstąpienie {level},Ascensão {level},Вознесение {level},飞升 {level},飛昇 {level}
final-floor-text,Final Floor,Dernier étage,Letzte Ebene,Última planta,最終階,마지막 층,Ostatnie piętro,Último andar,Последний этаж,最终层,最終層
new-journey-text,New Journey,Nouvelle aventure,Neues Abenteuer,Nuevo viaje,新たな旅,새 여정,Nowa wyprawa,Nova Jornada,Новое путешествие,新旅程,新旅程
select-save-slot-text,Select,Sélectionner,Auswählen,Seleccionar,選択,선택,Wybierz,Selecionar,Выбрать,选择,選擇
delete-save-slot-text,Delete,Supprimer,Löschen,Eliminar,削除,삭제,Usuń,Excluir,Удалить,删除,刪除
update-text,Update,Mettre à jour,Aktualisieren,Actualizar,更新,업데이트,Aktualizuj,Atualizar,Обновить,更新,更新
upload-text,Upload,Mettre en ligne,Hochladen,Subir,アップロード,업로드,Prześlij,Enviar,Загрузить,上传,上傳
death-message-title-text,Death Message by {player-name},Message de mort par {player-name},Todesnachricht von {player-name},Mensaje de muerte por {player-name},{player-name}による死亡メッセージ,{player-name} 의 사망 메시지,Wiadomość o śmierci od {player-name},Mensagem de Morte por {player-name},Предсмертное послание игрока {player-name},{player-name} 的死亡信息,{player-name} 的死亡信息
player-floor-record-text,{player-name}'s Floor Record,Record d'étage de {player-name},{player-name}s Stockwerk-Rekord,Récord de piso de {player-name},{player-name}のフロア記録,{player-name}의 층 기록,Rekord piętra {player-name},Recorde de Andar de {player-name},Лучший этаж игрока {player-name},{player-name} 的层数记录,{player-name} 的層數記錄
view-steam-profile-text,View Steam Profile,Voir le profil Steam,Steam-Profil ansehen,Ver perfil de Steam,Steamプロフィールを表示,Steam 프로필 보기,Zobacz profil Steam,Ver perfil no Steam,посмотреть профиль Steam,查看Steam档案,查看Steam個人檔案
no-achievements-text,No Achievements,Aucun succès,Keine Erfolge,Sin logros,実績なし,업적 없음,Brak osiągnięć,Sem conquistas,Нет достижений,无成就,無成就
loading-file-text,Loading,Chargement,Lädt,Cargando,ロード中,불러오는 중,Wczytywanie,Carregando,Загрузка,加载中,載入中
saving-file-text,Saving,Sauvegarde,Speichert,Guardando,セーブ中,저장하는 중,Zapisywanie,Salvando,Сохранение,保存中,儲存中
proceed-text,Proceed,Continuer,Fortfahren,Continuar,続行,진행,Kontynuuj,Prosseguir,Продолжить,继续,繼續
join-lobby-text,Join,Rejoindre,Beitreten,Unirse,参加,참가,Dołącz,Entrar,Присоединиться,加入,加入
enter-password-text,enter password,entrer le mot de passe,Passwort eingeben,introducir contraseña,パスワードを入力,비밀번호 입력,wprowadź hasło,digite a senha,введите пароль,输入密码,輸入密碼
enter-ip-text,enter ip,entrer l'IP,IP eingeben,introducir IP,IPを入力,IP 입력,wprowadź IP,digite o IP,введите IP,输入IP,輸入IP
specialization-floor-text,Activates On Floor {floor-number},S'active à l'étage {floor-number},Wird bei Ebene {floor-number} aktiviert,Se activa en el piso {floor-number},フロア{floor-number}で発動,{floor-number}층에서 활성화,Aktywuje się na piętrze {floor-number},Ativa-se no {floor-number}º andar,Активируется на этаже {floor-number},于第{floor-number}层激活,在{floor-number}樓啟動
