language-name-text,Polski
leaderboard-progress-text,Przewyższyłeś {player-percentage-amount} graczy; osiągając piętro {floor-record}
leaderboard-progress-connection-failed-text,Nie udało się połączyć z rankingami. Osiągnięto piętro {floor-record}
final-floor-reached-text,Ostatnie piętro osiągnięte
ascension-level-text,Wniebowstąpienie {level}
final-floor-text,Ostatnie piętro
new-journey-text,Nowa wyprawa
select-save-slot-text,Wybierz
delete-save-slot-text,Usuń
update-text,Aktualizuj
upload-text,Prześlij
death-message-title-text,Wiadomość o śmierci od {player-name}
player-floor-record-text,Rekord piętra {player-name}
view-steam-profile-text,Zobacz profil Steam
no-achievements-text,Brak osiągnięć
loading-file-text,Wczytywanie
saving-file-text,Zapisywanie
proceed-text,Kontynuuj
join-lobby-text,Dołącz
enter-password-text,wprowadź hasło
enter-ip-text,wprowadź IP
specialization-floor-text,Aktywuje się na piętrze {floor-number}
convert-to-battle-stats-text,Przekształć w statystyki bitewne
stat-per-kill-text,{stat}/zabójstwo
item-found-text,Znaleziono {item-name}
doubles-own-stat-text,Podwaja własne |{stat}
victory-text,Zwycięstwo
defeat-text,Porażka
ascend-text,Wniebowstąp
negative-flow-text,Ujemna wartość statystyki |{flow}|; zdejmij zestawy przedmiotów
cannot-be-dismantled-text,Nie można rozmontować
waiting-for-dismantle-text,Oczekiwanie na rozmontowanie
request-to-dismantle-text,Żądanie rozmontowania
battles-remaining-text,Pozostałe bitwy
current-battle-text,Obecna bitwa
last-battle-text,Ostatnia bitwa
gold-per-battle-text,Złoto na bitwę
gold-per-kill-text,Złoto na zabójstwo
enemy-player-immunity-text,Otrzymuje {amount}% mniej obrażeń||\n||w turze gracza {player-name}
enemy-player-immunity-misc-text,Co turę zmniejszana o {amount}%
player-sent-an-item-text,{player-name} wysyła ci: {item-name}
send-item-to-player-text,Wyślij przedmiot
burnout-description-text,Wypalenie: efekty nieaktywne
infuse-description-text,Zapewnia statystyki i efekty przedmiotu||\n||dla tego piętra
infused-flow-info-text,nasilony; nie wymaga: |{flow-stat}
infuse-text,Nasil
to-open-battle-log-text,By otworzyć rejestr bitewny
to-unlock-stats-text,By odblokować statystyki
to-lock-stats-text,By zablokować statystyki
to-deselect-text,By odznaczyć
to-convert-text,By przekształcić
to-select-text,By wybrać
to-toggle-text,By przełączyć
to-unlock-text,By odblokować
to-learn-text,Aby nauczyć się
to-lock-text,By zablokować
to-consume-text,By użyć
to-activate-text,By aktywować
to-restore-text,By przywrócić
to-remove-text,By usunąć
to-banish-text,Aby wygnać
to-equip-text,By dodać do ekwipunku
to-swap-text,By zamienić
to-take-text,By wziąć
to-buy-text,By kupić
silenced-text,Uciszono
highest-text,Najwyższy
cost-text,Koszt
diamond-reward-text,Otrzymaj dodatkowy {diamond} co {floor} pięter
gold-start-text,Rozpocznij z +{amount} {gold}
reforge-token-description-text,+{amount}% szansy; że |{stat}| zostanie zastosowane||\n||na przekutym przedmiocie
