language-name-text,Русский
leaderboard-progress-text,Вы превзошли {player-percentage-amount} игроков; достигнув этажа {floor-record}
leaderboard-progress-connection-failed-text,Не удалось получить доступ к списку лидеров. Достигнутый этаж: {floor-record}
final-floor-reached-text,Достигнут последний этаж
ascension-level-text,Вознесение {level}
final-floor-text,Последний этаж
new-journey-text,Новое путешествие
select-save-slot-text,Выбрать
delete-save-slot-text,Удалить
update-text,Обновить
upload-text,Загрузить
death-message-title-text,Предсмертное послание игрока {player-name}
player-floor-record-text,Лучший этаж игрока {player-name}
view-steam-profile-text,посмотреть профиль Steam
no-achievements-text,Нет достижений
loading-file-text,Загрузка
saving-file-text,Сохранение
proceed-text,Продолжить
join-lobby-text,Присоединиться
enter-password-text,введите пароль
enter-ip-text,введите IP
specialization-floor-text,Активируется на этаже {floor-number}
convert-to-battle-stats-text,Превратить в боевые характеристики
stat-per-kill-text,{stat} за каждое убийство
item-found-text,Найдено: {item-name}
doubles-own-stat-text,Удваивает собственную |{stat}
victory-text,Победа
defeat-text,Поражение
ascend-text,Вознесение
negative-flow-text,Отрицательный |{flow}|; снимите комплекты предметов
cannot-be-dismantled-text,Нельзя разобрать
waiting-for-dismantle-text,Ожидание разборки
request-to-dismantle-text,Запрос на разборку
battles-remaining-text,Осталось боев
current-battle-text,Текущая битва
last-battle-text,Последняя битва
gold-per-battle-text,Золота за бой
gold-per-kill-text,Золота за убийство
enemy-player-immunity-text,Получает на {amount}% меньше урона||\n||во время хода игрока {player-name}
enemy-player-immunity-misc-text,Каждый ход снижается на {amount}%
player-sent-an-item-text,Игрок {player-name} отправляет вам: {item-name}
send-item-to-player-text,Отправить предмет
burnout-description-text,Выгорание: эффекты неактивны
infuse-description-text,Дает характеристики и эффекты предмета||\n||на этом этаже
infused-flow-info-text,влито; |{flow-stat}| не расходуется
infuse-text,Влить
to-open-battle-log-text,для открытия журнала боя
to-unlock-stats-text,для разблокировки характеристик
to-lock-stats-text,для блокировки характеристик
to-deselect-text,для отмены выбора
to-convert-text,для превращения
to-select-text,для выбора
to-toggle-text,для переключения
to-unlock-text,для разблокировки
to-learn-text,Чтобы изучить
to-lock-text,для блокировки
to-consume-text,для расхода
to-activate-text,для активации
to-restore-text,для восстановления
to-remove-text,для снятия
to-banish-text,Чтобы изгнать
to-equip-text,для использования
to-swap-text,для замены
to-take-text,для получения
to-buy-text,для покупки
silenced-text,Безмолвие
highest-text,Наивысш.
cost-text,Стоимость
diamond-reward-text,Получайте дополнительный {diamond} каждые {floor} этажей
gold-start-text,Начните с +{amount} {gold}
reforge-token-description-text,+{amount}% шанс; что |{stat}| будет применен||\n||к перекованному предмету
item-multiplier-text,Эта характеристика умножается на число использованных предметов комплекта |{item-set}
specialization-info-text,Преобразует |{item-set}| в |{specialization}|
required-item-sets-text,Требуется использовать предмет комплекта |{item-set}
required-stat-text,Требуется |{stat}
cant-move-during-battle-text,Нельзя двигаться во время боя
missing-item-socket-text,Нет гнезда: {socket-name}
item-set-no-flow-text,|{item-set}| стоит 0% |{flow}|
item-set-limit-reached-text,Достигнут лимит комплектов
cant-equip-duplicates-text,Нельзя использовать дубликаты
cannot-be-upgraded-text,Нельзя улучшить
unlearned-ability-text,Неизученная способность
learn-ability-text,Изучить {ability}
skip-stance-text,Пропустить: не атаковать в этот ход
guard-stance-text,Защита: в этот ход получаемый урон снижен на {amount}%
attack-on-activation-ability-text,атака при активации
reforged-item-stats-text,Характеристики перекованного предмета
favorite-item-sets-text,Избранные наборы предметов
market-item-sets-text,Наборы предметов с рынка
tinker-kit-item-name-text,Набор для умельца
battle-information-text,Сведения о бое
current-turn-text,Ход {turn-number}
local-player-name-text,Вы
dead-text,Смерть
battle-log-applied-status-effect-text,{character-2} — получен эффект состояния ({character-1})
battle-log-applied-status-on-self-text,{character} — наложен эффект состояния на себя
battle-log-received-damage-from-source-text,{character} — получен урон ({source})
battle-log-received-damage-text,{character} — получен урон
battle-log-hit-with-text,{character-2} — получена атака ({character-1}
battle-log-activated-effect-text,{character} — активирован эффект
battle-log-parry-text,{character-1} — парирование атаки ({character-2})
battle-log-block-text,{character-1} — использован блок атаки ({character-2})
battle-log-killed-text,{character-2} — смерть ({character-1})
battle-log-steal-text,{character} украл у {source}
battle-log-hit-text,{character-2} — получена атака ({character-1})
battle-log-cleanse-text,{character} — очищено
battle-log-dodged-text,{character} — избегание
battle-log-healed-text,{character} — лечение
overhealed-text,Сверхлечение
overheal-text,Сверхлечение
executed-text,Казнь
blocked-text,Блок
debuff-immune-text,Иммунитет к отрицательным эффектам
failed-steal-text,Неудачная кража
steal-text,Кража
escaped-text,Побег
cleanse-text,Очищение
inventory-full-text,Инвентарь заполнен
armor-break-text,Разрушение брони!
counter-attack-break-text,Контрудар!
missing-mana-text,Потраченная мана
cleansed-text,Очищено
heal-text,Лечение
attack-text,Атака
enter-text,Войти
skip-text,Пропустить
open-text,Открыть
sell-all-text,Продать все
close-text,Закрыть
demo-tower-completed-text,Демобашня пройдена
grants-stat-consumable-text,{stat}| +|{amount}| в этом бою
temp-stat-to-add-potion-description-text,#ERROR!
status-effect-potion-description-multiple-text,#ERROR!
status-effect-potion-description-single-text,{status-effect}| +1 заряд
potion-restores-text,Восстанавливает {amount} характеристики |{stat}
potion-regenerates-text,Восстанавливает {amount} характеристики |{stat}
potion-repairs-text,Восстанавливает {amount}% характеристики |{stat}
refills-every-battle-potion-text,Восполняется после каждого боя
stat-transform-text,Преобразует |{stat-1}| в |{stat-2}
banished-item-text,Изгнание: {item-name}
reforged-item-text,Перекованный {item-name}
item-reforge-text,Перековка {item-name}
banish-description-text,Навсегда убирает {item-name}|\n|из башни
unlock-requirements-description-text,Требуется завершенных боев для разблокировки:
unlimited-amount-text,Нет лимита
max-amount-text,Макс.: {amount}
corrupted-fragment-text,Искаженный фрагмент
specialization-text,Специализация
unknown-enemy-text,Неизвестный враг
