language-name-text,中文 (繁體)
leaderboard-progress-text,通過到達第 {floor-record} 層，您超過了 {player-percentage-amount} 的玩家
leaderboard-progress-connection-failed-text,無法連線至排行榜；到達{floor-record}樓
final-floor-reached-text,到達最終層
ascension-level-text,飛昇 {level}
final-floor-text,最終層
new-journey-text,新旅程
select-save-slot-text,選擇
delete-save-slot-text,刪除
update-text,更新
upload-text,上傳
death-message-title-text,{player-name} 的死亡信息
player-floor-record-text,{player-name} 的層數記錄
view-steam-profile-text,查看Steam個人檔案
no-achievements-text,無成就
loading-file-text,載入中
saving-file-text,儲存中
proceed-text,繼續
join-lobby-text,加入
enter-password-text,輸入密碼
enter-ip-text,輸入IP
specialization-floor-text,在{floor-number}樓啟動
convert-to-battle-stats-text,轉換為戰鬥屬性
stat-per-kill-text,每次擊殺{stat}
item-found-text,{item-name} 找到
doubles-own-stat-text,將自身 |{stat} 翻倍
victory-text,勝利
defeat-text,失敗
ascend-text,飛昇
negative-flow-text,負|{flow}|，取消裝備物品套組
cannot-be-dismantled-text,無法拆解
waiting-for-dismantle-text,等待拆解
request-to-dismantle-text,請求拆解
battles-remaining-text,剩餘戰鬥
current-battle-text,當前戰鬥
last-battle-text,最後一戰
gold-per-battle-text,每場戰鬥金幣
gold-per-kill-text,每次擊殺金幣
enemy-player-immunity-text,在{player-name}的回合||\n||受到的傷害降低{amount}%
enemy-player-immunity-misc-text,每回合減少{amount}%
player-sent-an-item-text,{player-name}送了{item-name}給你
send-item-to-player-text,傳送物品
burnout-description-text,倦怠：效果未啟用
infuse-description-text,提供此樓層的||\n||物品屬性及效果
infused-flow-info-text,已注入；不花費|{flow-stat}
infuse-text,注入
to-open-battle-log-text,打開戰鬥日誌
to-unlock-stats-text,解鎖屬性
to-lock-stats-text,鎖定屬性
to-deselect-text,取消選擇
to-convert-text,轉換
to-select-text,選擇
to-toggle-text,切換
to-unlock-text,解鎖
to-learn-text,要學習
to-lock-text,鎖定
to-consume-text,繼續
to-activate-text,啟用
to-restore-text,恢復
to-remove-text,移除
to-banish-text,以放逐
to-equip-text,裝備
to-swap-text,交換
to-take-text,拿取
to-buy-text,購買
silenced-text,沉默
highest-text,最高
cost-text,花費
diamond-reward-text,每 {floor} 層獲得一個額外的 {diamond}
gold-start-text,開始時擁有 +{amount} {gold}
reforge-token-description-text,+{amount}% 機率使 |{stat}| 應用於||\n||重鑄物品上
item-multiplier-text,將此屬性乘以所有裝備的|{item-set}|物品
specialization-info-text,將 |{item-set}| 轉化為 |{specialization}|
required-item-sets-text,需要|{item-set}|物品才可裝備
required-stat-text,需要 |{stat}
cant-move-during-battle-text,戰鬥中無法移動
missing-item-socket-text,缺少 {socket-name} 插槽
item-set-no-flow-text,|{item-set}| 的費用為 0% |{flow}|
item-set-limit-reached-text,已達到物品套組限制
cant-equip-duplicates-text,無法裝備重複物品
cannot-be-upgraded-text,無法升級
unlearned-ability-text,未學習的能力
learn-ability-text,學習 {ability}
skip-stance-text,跳過：本回合不攻擊
guard-stance-text,防禦：本回合受到的傷害降低{amount}%
attack-on-activation-ability-text,啟動時攻擊
reforged-item-stats-text,重鑄物品屬性
favorite-item-sets-text,收藏的物品套裝
market-item-sets-text,市場物品套裝
tinker-kit-item-name-text,修補工具包
battle-information-text,戰鬥資訊
current-turn-text,第{turn-number}回合
local-player-name-text,你
dead-text,死亡
battle-log-applied-status-effect-text,{character-1}對{character-2}施加了狀態效果
battle-log-applied-status-on-self-text,{character}對自己施加了狀態效果
battle-log-received-damage-from-source-text,{character}受到來自{source}的傷害
battle-log-received-damage-text,{character}受到了傷害
battle-log-hit-with-text,{character-1}使用{source}命中了{character-2}
battle-log-activated-effect-text,{character}啟動了效果
battle-log-parry-text,{character-1}招架了{character-2}
battle-log-block-text,{character-1}格擋了{character-2}
battle-log-killed-text,{character-1}擊殺了{character-2}
battle-log-steal-text,{character} 從 {source} 偷走了
battle-log-hit-text,{character-1}命中了{character-2}
battle-log-cleanse-text,{character}已淨化
battle-log-dodged-text,{character}閃避了
